id,mp2015_id
WNAI247,r_econ_247
WNAI248,r_econ_248
WNAI249,r_econ_249
WNAI250,r_econ_250
WNAI251,r_econ_251
WNAI252,r_econ_252
WNAI253,r_econ_253
WNAI254,r_econ_254
WNAI255,r_econ_255
WNAI256,r_econ_256
WNAI257,r_econ_257
WNAI258,r_econ_258
WNAI259,r_econ_259
WNAI260,r_econ_260
WNAI261,r_econ_261
WNAI262,r_econ_262
WNAI263,r_econ_263
WNAI264,r_econ_264
WNAI265,r_econ_265
WNAI266,r_econ_266
WNAI267,r_econ_267
WNAI268,r_econ_268
WNAI269,r_econ_269
WNAI270,r_econ_270
WNAI271,r_econ_271
WNAI272,r_econ_272
WNAI273,r_econ_273
WNAI274,r_econ_274
WNAI275,r_econ_275
WNAI276,r_econ_276
WNAI277,r_econ_277
WNAI278,r_econ_278
WNAI279,r_econ_279
WNAI280,r_econ_280
WNAI281,r_econ_281
WNAI282,r_econ_282
WNAI283,r_econ_283
WNAI284,r_econ_284
WNAI285,r_settl_285
WNAI286,r_settl_286
WNAI287,r_settl_287
WNAI288,r_settl_288
WNAI289,r_settl_289
WNAI290,r_settl_290
WNAI291,r_settl_291
WNAI292,r_social_292
WNAI293,r_social_293
WNAI294,r_social_294
WNAI295,r_social_295
WNAI296,r_social_296
WNAI297,r_social_297
WNAI298,r_social_298
WNAI299,r_social_299
WNAI300,r_social_300
WNAI301,r_social_301
WNAI302,r_social_302
WNAI303,r_social_303
WNAI304,r_social_304
WNAI305,r_social_305
WNAI306,r_social_306
WNAI307,r_social_307
WNAI308,r_social_308
WNAI309,r_social_309
WNAI310,r_social_310
WNAI311,r_social_311
WNAI312,r_social_312
WNAI313,r_social_313
WNAI314,r_social_314
WNAI315,r_social_315
WNAI316,r_social_316
WNAI317,r_social_317
WNAI318,r_social_318
WNAI319,r_social_319
WNAI320,r_kin_320
WNAI321,r_kin_321
WNAI322,r_kin_322
WNAI323,r_kin_323
WNAI324,r_kin_324
WNAI325,r_kin_325
WNAI326,r_kin_326
WNAI327,r_kin_327
WNAI328,r_kin_328
WNAI329,r_kin_329
WNAI330,r_kin_330
WNAI331,r_kin_331
WNAI332,r_kin_332
WNAI333,r_kin_333
WNAI334,r_kin_334
WNAI335,r_pol_335
WNAI336,r_pol_336
WNAI337,r_pol_337
WNAI338,r_pol_338
WNAI339,r_pol_339
WNAI340,r_pol_340
WNAI341,r_pol_341
WNAI342,r_pol_342
WNAI343,r_pol_343
